Timestamp,What programming language(s) are you using in production?,What programming languages you stopped using,What programming language(s) are you using in your hobby/side projects?,,Do you attend any user groups (about programming or software development),Are you based in Ireland?
06/05/2014 08:13:00,"Java, Javascript, Objective C",,"Javascript, Objective C",,yes,Yes
06/05/2014 08:14:47,"C#, Javascript",Python,"C++, Java",,no,Yes
06/05/2014 08:17:02,"C#, Javascript, Python",,"C#, Go, Rust",,yes,Yes
06/05/2014 08:17:08,Python,perl,"Javascript, Python",,yes,Yes
06/05/2014 08:17:27,"C++, C#, Javascript","Java,Eiffel,Prolog","C#, F#,Haskell",,yes,Yes
06/05/2014 08:17:47,"Javascript, Python, erlang","C, C++",,,yes,Yes
06/05/2014 08:17:56,"C#, Java, Javascript, Python",Perl,"Javascript, Python",,yes,Yes
06/05/2014 08:19:33,"C#, Javascript","c++, java","Javascript, Python",,yes,Yes
06/05/2014 08:19:36,"Javascript, Ruby","C, C++, Java, PHP, BASIC :P","Javascript, Ruby",,yes,Yes
06/05/2014 08:19:41,"Java, Javascript, Objective C, Groovy, Actionscript","C,C++,Perl,Scala","Java, Javascript, Python, Groovy, Actionscript, Haxe",,yes,Yes
06/05/2014 08:20:13,"Java, Objective C",C#,Ruby,,yes,Yes
06/05/2014 08:20:17,"C#, Javascript, Ruby",None,"Python, Clojure,Go,Python, LISP, Scala",,yes,Yes
06/05/2014 16:20:49,"C++, C#",,"Javascript, Python, F#",,yes,Yes
06/05/2014 16:23:05,"Javascript, Python","php, java","Javascript, Python",,yes,Yes
06/05/2014 16:27:20,Java,"BASIC, Pascal","C, C++, Javascript, Python, Groovy",,yes,Yes
06/05/2014 16:28:32,"C#, Java",,"C#, Java, Python, Php",,yes,Yes
06/05/2014 16:29:27,"C, C++, Java, Erlang",,,,no,Yes
06/05/2014 16:29:53,"C#, Java",,C#,,no,Yes
06/05/2014 16:31:09,"C#, Java, Javascript, Php",C,"C#, Java, Python",,no,Yes
06/05/2014 16:31:12,"C++, C#, Javascript, Objective C",Java,"C, C++, C#, Javascript, Objective C",,no,Yes
06/05/2014 16:31:53,Python,PHP,Python,,yes,Yes
06/05/2014 16:32:08,"Javascript, Python, Bash","Java, C","Javascript, Python, Php",,yes,Yes
06/05/2014 16:33:13,"C#, Python, F#, powershell","Delphi, pascal, VisualBasic","C#, Lua, python, F#, prolog, clojure",,yes,Yes
06/05/2014 16:34:55,"C#, Javascript",,"C#, Javascript, Python",,no,Yes
06/05/2014 16:36:21,"C#, Javascript, VB.Net",,"C#, Javascript",,no,Yes
06/05/2014 16:37:26,"C#, Lua","perl,","Java, Javascript, Php, html",,yes,Yes
